Campaign report
"September 24, 2021 - September 16, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign subtype,Campaign type,Bid strategy type,Conv. value,TrueView views,Impr.,Avg. CPM,Conversions,Conv. rate,Cost / conv.,Clicks,CTR,Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Unique users,TrueView avg. CPV,Cost,Likes,Comments,Shares
Enabled,pmaxoff26br_gg_pc_po_pp_ao_wb_re_go_pf,186.90, --,Daily,BRL,Eligible (Limited),limited by budget,89.31,Standard,Performance Max,Target CPA,"10,081.04","49,864","1,417,068",112.28,"10,081.04",3.93%,15.78,"206,191",14.55%,0.00,0.00,,0.01,159114.36,0,0,0
Paused,Display | Tendências de Moradia,7.18, --,Daily,BRL,Paused,campaign paused, --,Standard,Demand Gen,Maximize Conversions,694.38,0,"1,278,033",18.66,672.00,1.56%,35.49,"12,657",0.99%,0.00,0.00,,0,23851.14,0,0,0
Paused,Feirão pronto para mudar,1.73, --,Daily,BRL,Paused,campaign paused, --,Standard,Demand Gen,Maximize Conversions,0.00,0,"358,611",5.92,0.00,0.00%,0.00,"3,954",1.10%,0.00,0.00,,0,2123.71,0,0,0
Paused,Pesquisa | Tendências de Moradia,2.67, --,Daily,BRL,Paused,campaign paused, --,Standard,Search,Maximize Conversions,"2,430.34",0,"332,235",188.22,"2,408.00",10.95%,25.97,"21,990",6.62%,0.00,0.00,,0,62534.48,0,0,0
Paused,[MATH] [VIDEO VIEW] [YOUTUBE] [B2C],56.64, --,Daily,BRL,Paused,campaign paused, --,Video views,Video,Maximum CPV,0.00,"29,680","285,346",17.14,17.00,0.01%,287.66,"1,286",0.45%,0.00,0.00,,0.16,4890.23,0,0,0
Paused,[MATH] [Discovery Zap+],500.00, --,Daily,BRL,Paused,campaign paused; campaign ended; most ads disapproved, --,Standard,Demand Gen,Maximize Conversions,0.00,0,"579,807",7.53,388.00,2.73%,11.25,"11,176",1.93%,0.00,0.00,,0,4363.79,0,0,0
Paused,Display | Leads - Zap+Fin,4.81, --,Daily,BRL,Paused,campaign paused, --,Standard,Display,Maximize Conversions,284.00,0,"66,796",57.34,284.00,10.16%,13.49,"2,794",4.18%,0.00,0.00,,0,3830.12,0,0,0
Paused,[MATH] [DISPLAY] [IMAGENS] Movimento Vai de Corretor - Dezembro,300.00, --,Daily,BRL,Paused,campaign paused; campaign ended; some ads disapproved, --,Standard,Display,Maximize Conversions,0.00,0,"2,372,108",5.76,"2,531.00",6.22%,5.40,"40,688",1.72%,0.00,0.00,,0,13671.05,0,0,0
Paused,Math | Lead |Pesquisa | #vaidecorretor | Janeiro #2,2.83, --,Daily,BRL,Paused,campaign paused, --,Standard,Search,Maximize Conversions,0.00,0,0,0,0.00,0.00%,0.00,0, --,0.00,0,,0,0.00,0,0,0
Paused,Brasília [Leads - Display] Plano Zap +,10.21, --,Daily,BRL,Paused,campaign paused; most ads disapproved, --,Standard,Display,Maximize Conversions,0.00,0,"118,645",8.83,0.00,0.00%,0.00,"1,363",1.15%,0.00,0.00,,0,1048.02,0,0,0
